category,sub-category,Rule-Potential,Remarks,Relevance-detection-potential
target,file,"sha256, md5, size, type, pe headers","Core file metadata for rule conditions","High - Essential for basic PE detection conditions like uint16(0)==0x5A4D and filesize checks"
info,version,"started, ended, duration, id, machine, package","Sandbox analysis metadata","Medium - Useful for context and meta section but low direct detection value"
static,pe_structure,"imports, exports, sections, resources, strings","Static PE analysis","High - Very strong for import hash, section name, and string-based rules"
static,pe_anomaly,"anomalies, entropy","Packer or corrupted PE detection","High - Excellent for packer and obfuscation detection rules"
behavior,summary,"files, keys, mutexes, executed_commands","High-level behavioral summary","High - Core indicators for persistence and dropper behavior"
behavior,processes,"processtree, apistats, enhanced, anomaly","Process behavior and API calls","High - Critical for detecting process injection and suspicious API usage"
behavior,encryptedbuffers,"encrypted memory buffers","Ransomware / Wiper encryption indicators","High - Extremely valuable for ransomware and wiper family detection"
network,hosts,"domains, tcp, udp, icmp, http, dns","Network C2 and communication","High - Strong for C2 domain/IP and protocol-based rules"
network,pcap,"pcap_sha256, traffic","Network capture data","Medium - Helpful for network IOCs but requires additional processing"
registry,keys,"registry operations","Persistence via registry","High - Classic persistence mechanism detection"
file,operations,"created, deleted, modified, copied","File system activity (Dropper/Wiper)","High - Very important for dropper, ransomware, and wiper behaviors"
process,operations,"creation, injection, memory, threads, termination","Injection and execution techniques","High - Core indicators for code injection techniques"
procmemory,regions,"memory regions, protection","Shellcode and memory manipulation","High - Strong signal for memory-based attacks and shellcode"
procdump,"[0]","name, path, strings, yara, cape_yara","Process memory dumps","High - Excellent source of payload strings and embedded PE detection"
dropped,"[0]","name, path, strings, yara","Dropped files","High - Direct indicators of dropped malware components"
CAPE,payloads,"configs, strings, cape_type","Unpacked payloads and configs","High - One of the strongest sources for YARA strings and configs"
detections,"[0]","family, details","AV/Sandbox detections","High - High confidence family indicators"
signatures,"[0]","name, description, severity, categories","Triggered behavioral signatures","High - Very reliable behavioral detection signals"
statistics,processing,"signatures, reporting","Sandbox processing statistics","Low - Mostly sandbox internal metadata with little detection value"
debug,log,"errors","Debug and error information","Medium - Can reveal anti-analysis techniques or crashes"
url_analysis,urls,"extracted URLs","C2 or exfiltration URLs","High - Direct C2 and exfiltration indicators"
tracee,events,"tracee eBPF data","Advanced syscall tracing","Medium - Useful for Linux/ELF malware but less common in Windows samples"
malscore,scalar,"malware score","Overall maliciousness score","Medium - Good for filtering but not specific for rules"
malstatus,scalar,"analysis status","Final analysis status","Low - General status, low rule generation value"
ttps,"[0]","ttps, mbcs","MITRE ATT&CK mappings","High - Excellent for TTP-based sophisticated rule logic"
